Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-22 13:12:48,2023-05-22 13:23:37,10m - 48.566s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-22 13:12:49,2023-05-22 13:13:14,25.641s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-22 13:12:50,2023-05-22 13:13:01,11.188s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-22 13:13:01,2023-05-22 13:13:01,0.221s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:13:01,2023-05-22 13:13:05,3.084s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:13:05,2023-05-22 13:13:06,1.036s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-22 13:13:06,2023-05-22 13:13:06,0.786s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-22 13:13:06,2023-05-22 13:13:11,5.063s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-22 13:13:11,2023-05-22 13:13:11,0.027s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-22 13:13:11,2023-05-22 13:13:12,0.338s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-22 13:13:12,2023-05-22 13:13:12,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-22 13:13:12,2023-05-22 13:13:12,0.006s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-22 13:13:12,2023-05-22 13:13:12,0.182s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-22 13:13:12,2023-05-22 13:13:12,0.025s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-22 13:13:12,2023-05-22 13:13:12,0.001s,PASSED
